Url,Title,Purpose,Property_Price,District,Ad_Age_Date,Use Type
https://wasalt.sa/property/sale/شقة-ب-3-غرف-5801168,شقة ب 3 غرف,للبيع,"1,599,000",الملقا,2025-12-02,سكني
https://wasalt.sa/property/sale/شقة-ب-3-غرف-5801136,شقة ب 3 غرف,للبيع,"1,599,000",الملقا,2025-12-02,سكني
https://wasalt.sa/property/sale/شقة-ب-3-غرف-5802024,شقة ب 3 غرف,للبيع,"1,599,000",الملقا,2025-12-02,سكني
https://wasalt.sa/property/sale/شقة-ب-3-غرف-5801133,شقة ب 3 غرف,للبيع,"1,685,000",الملقا,2025-12-02,سكني
https://wasalt.sa/property/sale/شقة-بغرفتين-5801153,شقة بغرفتين,للبيع,"1,450,000",الملقا,2025-12-02,سكني
https://wasalt.sa/property/sale/فيلا-19499-متر-مربع-شمالية-على-شارع-36م-5801116,فيلا 194.99 متر مربع شمالية على شارع 36م,للبيع,"2,309,000",الملقا,2025-12-02,سكني
https://wasalt.sa/property/sale/شقة-بغرفتين-5801632,شقة بغرفتين,للبيع,"1,495,000",الملقا,2025-12-02,سكني
https://wasalt.sa/property/sale/شقة-بغرفتين-5801152,شقة بغرفتين,للبيع,"1,469,000",الملقا,2025-12-02,سكني
https://wasalt.sa/property/sale/شقة-ب-3-غرف-5801164,شقة ب 3 غرف,للبيع,"1,675,000",الملقا,2025-12-02,سكني
https://wasalt.sa/property/sale/شقة-ب-3-غرف-5801158,شقة ب 3 غرف,للبيع,"1,609,000",الملقا,2025-12-02,سكني
https://wasalt.sa/property/sale/شقة-ب-3-غرف-5801120,شقة ب 3 غرف,للبيع,"1,599,000",الملقا,2025-12-02,سكني
https://wasalt.sa/property/sale/شقة-ب-3-غرف-5801166,شقة ب 3 غرف,للبيع,"1,529,000",الملقا,2025-12-02,سكني
https://wasalt.sa/property/sale/فيلا-19705-متر-مربع-شمالية-على-شارع-36م-5801095,فيلا 197.05 متر مربع شمالية على شارع 36م,للبيع,"2,299,000",الملقا,2025-12-02,سكني
https://wasalt.sa/property/sale/فيلا-19747-متر-مربع-شمالية-على-شارع-36م-5801105,فيلا 197.47 متر مربع شمالية على شارع 36م,للبيع,"2,299,000",الملقا,2025-12-02,سكني
https://wasalt.sa/property/sale/شقة-ب-3-غرف-5801142,شقة ب 3 غرف,للبيع,"1,800,000",الملقا,2025-12-02,سكني
https://wasalt.sa/property/sale/فيلا-360-متر-مربع-غربية-على-شارع-18م-5803017,فيلا 360 متر مربع غربية على شارع 18م,للبيع,"5,000,000",الملقا,2025-11-14,سكني
https://wasalt.sa/property/sale/فيلا-4800-متر-مربع-شمالية-على-شارع-12م-5799988,فيلا 4800 متر مربع شمالية على شارع 12م,للبيع,"2,200,000",الياسمين,2025-11-07,سكني
https://wasalt.sa/property/sale/فيلا-4800-متر-مربع-شمالية-على-شارع-12م-5799987,فيلا 4800 متر مربع شمالية على شارع 12م,للبيع,"2,200,000",الياسمين,2025-11-07,سكني
https://wasalt.sa/property/sale/فيلا-4800-متر-مربع-شمالية-على-شارع-12م-5799992,فيلا 4800 متر مربع شمالية على شارع 12م,للبيع,"2,240,000",الياسمين,2025-11-07,سكني
https://wasalt.sa/property/sale/فيلا-4800-متر-مربع-شمالية-على-شارع-12م-5799990,فيلا 4800 متر مربع شمالية على شارع 12م,للبيع,"2,240,000",الياسمين,2025-11-07,سكني
https://wasalt.sa/property/sale/شقة-ب-3-غرف-5810583,شقة ب 3 غرف,للبيع,"1,400,000",الملقا,2025-12-02,سكني
https://wasalt.sa/property/sale/أرض-4950-متر-مربع-شمالية-غربية-على-شارع-60م-5812403,أرض 4950 متر مربع شمالية غربية على شارع 60م,للبيع,"71,775,000",الملقا,2025-11-30,سكني
https://wasalt.sa/property/sale/فيلا-30416-متر-مربع-غربية-على-شارع-15م-5813559,فيلا 304.16 متر مربع غربية على شارع 15م,للبيع,"3,950,000",عرقة,2025-12-02,سكني
https://wasalt.sa/property/sale/شقة-ب-3-غرف-5805497,شقة ب 3 غرف,للبيع,"950,000",الملقا,2025-12-02,سكني
https://wasalt.sa/property/sale/فيلا-900-متر-مربع-شمالية-على-شارع-15م-5805503,فيلا 900 متر مربع شمالية على شارع 15م,للبيع,"9,000,000",الملقا,2025-12-02,سكني
https://wasalt.sa/property/sale/أرض-103782-متر-مربع-شمالية-غربية-على-شارع-12م-5801102,أرض 1037.82 متر مربع شمالية غربية على شارع 12م,للبيع,"4,607,920",عرقة,2025-11-28,سكني
https://wasalt.sa/property/sale/شقة-ب-3-غرف-5801131,شقة ب 3 غرف,للبيع,"1,725,000",الملقا,2025-12-02,سكني
https://wasalt.sa/property/sale/شقة-ب-3-غرف-5802063,شقة ب 3 غرف,للبيع,"1,685,000",الملقا,2025-12-02,سكني
https://wasalt.sa/property/sale/شقة-بغرفتين-5801155,شقة بغرفتين,للبيع,"1,450,000",الملقا,2025-12-02,سكني
https://wasalt.sa/property/sale/شقة-بغرفتين-5803554,شقة بغرفتين,للبيع,"1,850,000",حطين,2025-12-02,سكني
https://wasalt.sa/property/sale/شقة-ب-3-غرف-5801168,شقة ب 3 غرف,للبيع,"1,599,000",الملقا,2025-12-02,سكني
https://wasalt.sa/property/sale/شقة-ب-3-غرف-5801136,شقة ب 3 غرف,للبيع,"1,599,000",الملقا,2025-12-02,سكني
https://wasalt.sa/property/sale/شقة-بغرفتين-5802023,شقة بغرفتين,للبيع,"1,479,000",الملقا,2025-12-02,سكني
https://wasalt.sa/property/sale/شقة-ب-3-غرف-5802024,شقة ب 3 غرف,للبيع,"1,599,000",الملقا,2025-12-02,سكني
https://wasalt.sa/property/sale/شقة-ب-3-غرف-5801133,شقة ب 3 غرف,للبيع,"1,685,000",الملقا,2025-12-02,سكني
https://wasalt.sa/property/sale/شقة-بغرفتين-5801153,شقة بغرفتين,للبيع,"1,450,000",الملقا,2025-12-02,سكني
https://wasalt.sa/property/sale/فيلا-19499-متر-مربع-شمالية-على-شارع-36م-5801116,فيلا 194.99 متر مربع شمالية على شارع 36م,للبيع,"2,309,000",الملقا,2025-12-02,سكني
https://wasalt.sa/property/sale/شقة-بغرفتين-5801632,شقة بغرفتين,للبيع,"1,495,000",الملقا,2025-12-02,سكني
https://wasalt.sa/property/sale/شقة-بغرفتين-5801152,شقة بغرفتين,للبيع,"1,469,000",الملقا,2025-12-02,سكني
https://wasalt.sa/property/sale/شقة-ب-3-غرف-5801164,شقة ب 3 غرف,للبيع,"1,675,000",الملقا,2025-12-02,سكني
https://wasalt.sa/property/sale/شقة-ب-3-غرف-5801158,شقة ب 3 غرف,للبيع,"1,609,000",الملقا,2025-12-02,سكني
https://wasalt.sa/property/sale/شقة-ب-3-غرف-5801120,شقة ب 3 غرف,للبيع,"1,599,000",الملقا,2025-12-02,سكني
https://wasalt.sa/property/sale/شقة-ب-3-غرف-5801166,شقة ب 3 غرف,للبيع,"1,529,000",الملقا,2025-12-02,سكني
https://wasalt.sa/property/sale/فيلا-19705-متر-مربع-شمالية-على-شارع-36م-5801095,فيلا 197.05 متر مربع شمالية على شارع 36م,للبيع,"2,299,000",الملقا,2025-12-02,سكني
https://wasalt.sa/property/sale/شقة-ب-3-غرف-5801142,شقة ب 3 غرف,للبيع,"1,800,000",الملقا,2025-12-02,سكني
https://wasalt.sa/property/sale/فيلا-19825-متر-مربع-شمالية-على-شارع-36م-5801103,فيلا 198.25 متر مربع شمالية على شارع 36م,للبيع,"2,329,000",الملقا,2025-12-01,سكني
https://wasalt.sa/property/sale/فيلا-3125-متر-مربع-جنوبية-على-شارع-15م-5792347,فيلا 312.5 متر مربع جنوبية على شارع 15م,للبيع,"4,000,000",عرقة,2025-11-01,سكني
https://wasalt.sa/property/sale/دور-15073-متر-مربع-ب-3-غرف-5793017,دور 150.73 متر مربع ب 3 غرف,للبيع,"2,000,000",الياسمين,2025-10-29,سكني
https://wasalt.sa/property/sale/فيلا-300-متر-مربع-شمالية-على-شارع-15م-5800927,فيلا 300 متر مربع شمالية على شارع 15م,للبيع,"3,800,000",الياسمين,2025-12-03,سكني
https://wasalt.sa/property/sale/فيلا-20382-متر-مربع-شمالية-على-شارع-36م-5800902,فيلا 203.82 متر مربع شمالية على شارع 36م,للبيع,"2,529,000",الملقا,2025-12-01,سكني
https://wasalt.sa/property/sale/فيلا-20625-متر-مربع-غربية-على-شارع-15م-5797804,فيلا 206.25 متر مربع غربية على شارع 15م,للبيع,"2,200,000",الياسمين,2025-11-18,سكني
https://wasalt.sa/property/sale/شقة-ب-3-غرف-5802034,شقة ب 3 غرف,للبيع,"1,475,000",الملقا,2025-12-01,سكني
